Date : 2026-03-08 16:08:31
Directory : c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main
Total : 344 files,  48453 codes, 3205 comments, 6454 blanks, all 58112 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\CourseEnrollmentModal\index.js                                        | JavaScript     |          3 |          0 |          1 |          4 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\EnrollmentButton\EnrollmentButton.css                                 | PostCSS        |         32 |          0 |          6 |         38 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\EnrollmentButton\EnrollmentButton.jsx                                 | JavaScript JSX |        134 |          4 |         13 |        151 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\Footer\Footer.css                                                     | PostCSS        |        177 |          6 |         36 |        219 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\Footer\Footer.jsx                                                     | JavaScript JSX |         84 |          0 |          7 |         91 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\ForgotPasswordModal\ForgotPasswordModal.css                           | PostCSS        |        179 |          1 |         31 |        211 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\ForgotPasswordModal\ForgotPasswordModal.jsx                           | JavaScript JSX |         81 |          0 |         11 |         92 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\NavBar\NavBar.css                                                     | PostCSS        |        249 |          0 |         43 |        292 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\NavBar\NavBar.jsx                                                     | JavaScript JSX |        241 |          5 |         19 |        265 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\PasswordUpdate\PasswordUpdate.css                                     | PostCSS        |        136 |          1 |         21 |        158 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\PasswordUpdate\PasswordUpdate.jsx                                     | JavaScript JSX |        125 |          2 |         13 |        140 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\SalesInquiryCTA\SalesInquiryCTA.jsx                                   | JavaScript JSX |        113 |         22 |         11 |        146 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\SalesInquiryCTA\SalesInquiryCTA.module.css                            | PostCSS        |        116 |          9 |         19 |        144 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\SalesInquiryCTA\index.js                                              | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\SalesInquiryModal\SalesInquiryModal.jsx                               | JavaScript JSX |        357 |         37 |         29 |        423 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\SalesInquiryModal\SalesInquiryModal.module.css                        | PostCSS        |        286 |         18 |         46 |        350 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\SalesInquiryModal\index.js                                            | JavaScript     |          1 |          0 |          1 |          2 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\SalesInquiryModal\salesInquirySchema.js                               | JavaScript     |         26 |         19 |          8 |         53 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\SecureVideoPlayer\SecureVideoPlayer.css                               | PostCSS        |        267 |         44 |         48 |        359 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\SecureVideoPlayer\SecureVideoPlayer.jsx                               | JavaScript JSX |        304 |         69 |         47 |        420 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\Services\AmbassadorModal\AmbassadorModal.css                          | PostCSS        |        118 |          2 |         20 |        140 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\Services\AmbassadorModal\AmbassadorModal.jsx                          | JavaScript JSX |         65 |          1 |         10 |         76 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\Services\MentorshipModal\MentorshipModal.css                          | PostCSS        |        184 |          3 |         33 |        220 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\Services\MentorshipModal\MentorshipModal.jsx                          | JavaScript JSX |        104 |          1 |         13 |        118 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\Services\PodcastModal\PodcastModal.css                                | PostCSS        |        167 |          3 |         30 |        200 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\Services\PodcastModal\PodcastModal.jsx                                | JavaScript JSX |         69 |          1 |          9 |         79 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\common\MarkdownEditor\MarkdownEditor.jsx                              | JavaScript JSX |        199 |         53 |         22 |        274 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\common\MarkdownEditor\MarkdownEditor.module.css                       | PostCSS        |        189 |         15 |         32 |        236 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\common\MarkdownEditor\index.js                                        | JavaScript     |          1 |          4 |          1 |          6 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\common\MarkdownRenderer\MarkdownRenderer.jsx                          | JavaScript JSX |         89 |         40 |         10 |        139 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\common\MarkdownRenderer\MarkdownRenderer.module.css                   | PostCSS        |         59 |         13 |         14 |         86 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\components\common\MarkdownRenderer\index.js                                      | JavaScript     |          1 |          4 |          1 |          6 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\context\UserContext.jsx                                                          | JavaScript JSX |         61 |          1 |          9 |         71 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\hooks\useCourseEnrollment.js                                                     | JavaScript     |        368 |         23 |         47 |        438 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\hooks\useDeviceCapabilities.js                                                   | JavaScript     |         21 |         18 |          8 |         47 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\hooks\useDeviceCapabilities.test.js                                              | JavaScript     |        101 |         16 |         29 |        146 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\hooks\useSalesInquiry.js                                                         | JavaScript     |         22 |         12 |          6 |         40 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\index.css                                                                        | PostCSS        |          7 |          1 |          2 |         10 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\main.jsx                                                                         | JavaScript JSX |         14 |          1 |          2 |         17 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\About\About.jsx                                                            | JavaScript JSX |         70 |         13 |         11 |         94 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\About\About.module.css                                                     | PostCSS        |         62 |          2 |         11 |         75 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\About\README.md                                                            | Markdown       |        367 |          0 |        135 |        502 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\About\components\HeroSection\HeroSection.jsx                               | JavaScript JSX |         42 |          4 |          6 |         52 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\About\components\HeroSection\HeroSection.module.css                        | PostCSS        |        167 |          4 |         29 |        200 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\About\components\ImpactSection\ImpactSection.jsx                           | JavaScript JSX |         50 |          4 |          7 |         61 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\About\components\ImpactSection\ImpactSection.module.css                    | PostCSS        |        122 |          3 |         23 |        148 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\About\components\VisionSection\VisionSection.jsx                           | JavaScript JSX |         29 |          4 |          5 |         38 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\About\components\VisionSection\VisionSection.module.css                    | PostCSS        |        128 |          3 |         22 |        153 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\About\components\index.js                                                  | JavaScript     |          4 |          3 |          2 |          9 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\About\components\shared\ContentRow.jsx                                     | JavaScript JSX |         61 |          5 |          7 |         73 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\About\components\shared\ContentRow.module.css                              | PostCSS        |        175 |          3 |         29 |        207 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\About\components\shared\ImpactCard.jsx                                     | JavaScript JSX |         22 |          4 |          5 |         31 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\About\components\shared\ImpactCard.module.css                              | PostCSS        |        150 |          3 |         25 |        178 |
